127.0.0.1 - - [09/Jan/2023:10:20:53 +0900] "GET / HTTP/1.1" 200 10560
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:21:01 +0900] "GET / HTTP/1.1" 200 10560
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:21:01 +0900] "GET /resources/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:21:01 +0900] "GET /resources/icon/main2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:21:01 +0900] "GET /resources/icon/main1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:21:01 +0900] "GET /resources/icon/main3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:21:01 +0900] "GET /resources/icon/main4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:21:01 +0900] "GET /resources/icon/main5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:21:01 +0900] "GET /resources/icon/main6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:21:01 +0900] "GET /resources/icon/main8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:21:01 +0900] "GET /resources/icon/main7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:21:01 +0900] "GET /resources/icon/con2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:21:01 +0900] "GET /resources/icon/con1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:21:01 +0900] "GET /resources/icon/con6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:21:01 +0900] "GET /resources/icon/facebook-icon.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:21:01 +0900] "GET /resources/icon/con5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:21:01 +0900] "GET /resources/icon/con4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:21:01 +0900] "GET /resources/icon/email-icon.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:21:01 +0900] "GET /resources/icon/con3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:21:01 +0900] "GET /resources/icon/twitter-icon.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:21:01 +0900] "GET /resources/icon/pro_nf1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:21:01 +0900] "GET /resources/icon/youtube-icon.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:21:01 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:23:36 +0900] "GET / HTTP/1.1" 200 10963
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:23:46 +0900] "GET /board/list.do HTTP/1.1" 200 9617
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:23:46 +0900] "GET /board/resources/css/normalize.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:23:48 +0900] "GET /board/insert.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:23:48 +0900] "GET / HTTP/1.1" 200 10963
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:24:14 +0900] "GET /member/loginForm.do HTTP/1.1" 200 8823
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:24:14 +0900] "GET /member/resources/css/normalize.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:24:21 +0900] "POST /member/signin.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:24:21 +0900] "GET / HTTP/1.1" 200 10892
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:24:24 +0900] "GET /board/list.do HTTP/1.1" 200 9682
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:24:24 +0900] "GET /board/resources/css/normalize.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:24:26 +0900] "GET /board/insert.do HTTP/1.1" 200 8768
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:24:26 +0900] "GET /board/resources/css/normalize.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:24:35 +0900] "GET /board/detail.do?seq=7 HTTP/1.1" 200 8969
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:24:35 +0900] "GET /board/resources/css/normalize.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:24:41 +0900] "GET /board/insert.do HTTP/1.1" 200 8768
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:24:41 +0900] "GET /board/resources/css/normalize.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:24:44 +0900] "GET /board/resources/css/normalize.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:27:59 +0900] "GET /board/insert.do HTTP/1.1" 200 8833
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:27:59 +0900] "GET /board/resources/css/normalize.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:28:18 +0900] "GET /board/detail.do?seq=7 HTTP/1.1" 200 9034
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:28:18 +0900] "GET /board/resources/css/normalize.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:28:21 +0900] "GET /board/edit.do?seq=7 HTTP/1.1" 200 8939
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:28:21 +0900] "GET /board/resources/css/normalize.css HTTP/1.1" 404 721
